,StartDate,EndDate,Status,Progress,duration_p1,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Consent,Metainfo_Browser,Metainfo_Version,Metainfo_Operating System,Metainfo_Resolution,PID,govt_trust_1,govt_trust_2,govt_trust_3,govt_trust_4,internet_trust_1,internet_trust_2,internet_trust_3,internet_trust_4,internet_trust_5,internet_trust_6,internet_trust_7,internet_trust_8,ssa_trust_1,ssa_trust_2,ssa_trust_3,ssa_trust_4,ssa_trust_5,ssa_trust_6,ssa_trust_7,ssa_trust_8,ssa_trust_9,ssa_trust_10,OnlineShopping,surveyArm,PROLIFIC_PID,NumWithHeadersOpened,NumWithLinksClicked,ProtectYourself,ProtectYourself_Clicked,ProtectYourself_Details,AmazonHP,AmazonHP_Clicked,AmazonHP_Details,email_IRS,email_IRS_Clicked,email_IRS_Details,web_IRS,web_IRS_Clicked,web_IRS_Details,apple,apple_Clicked,apple_Details,amazon_Product,amazon_Product_Clicked,amazon_Product_Details,email_mcafee,email_mcafee_Clicked,email_mcafee_Details,GetProtected,GetProtected_Clicked,GetProtected_Details,ExistInMongo_Training,MongoTraining_Complete,StartDate_p2,EndDate_p2,Status_p2,Progress_p2,duration_p2,Finished_p2,RecordedDate_p2,ResponseId_p2,RecipientLastName_p2,RecipientFirstName_p2,RecipientEmail_p2,ExternalReference_p2,DistributionChannel_p2,UserLanguage_p2,Employment,TotalIncome,Race,Education,Age_1,Gender,ExistInPart2,RedCross,RedCross_Clicked,RedCross_Details,SSA_HP,SSA_HP_Clicked,SSA_HP_Details,mySSA,mySSA_Clicked,mySSA_Details,AmazonDeliveryDelay,AmazonDeliveryDelay_Clicked,AmazonDeliveryDelay_Details,FB_SSA,FB_SSA_Clicked,FB_SSA_Details,ssa_optout,ssa_optout_Clicked,ssa_optout_Details,replacementCard,replacementCard_Clicked,replacementCard_Details,WalmartProduct,WalmartProduct_Clicked,WalmartProduct_Details,ExistInMongo_Test,MongoTest_Complete,StartDate_p3,EndDate_p3,Status_p3,Progress_p3,duration_p3,Finished_p3,RecordedDate_p3,ResponseId_p3,RecipientLastName_p3,RecipientFirstName_p3,RecipientEmail_p3,ExternalReference_p3,DistributionChannel_p3,UserLanguage_p3,previousFraud,lose_money,amount_lost,report_loss,CyberTraining,Lonely1,Lonely2,Lonely3,KeepResponse,ExistInPart3,Wave,IsPrimaryWave,previousFraudYN,lose_moneyYN,duration_p1_Quantile,duration_p2_Quantile,duration_p3_Quantile,daysFromTrainingToTest,cleanStatus,DuplicatedPID,DuplicatedCleanPID,PID_Length,IsBBB
9,2022-07-04 13:51:00,7/4/2022 13:52,IP Address,100,84,True,7/4/2022 13:52,R_ToSau7BvvVtNJXr,,,,,anonymous,EN,Yes,Chrome,103.0.5060.53,Windows NT 10.0,1536x864,5aedb8ce49bb4c0001079640,Some,Frustrated,Only some of the time,Government is doing too many things better left to businesses and individuals.,Slightly Disagree,Slightly Disagree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Slightly Agree,A few times a week / Daily,arm2_generalinfo,5aedb8ce49bb4c0001079640,3,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/4/2022 13:52,7/4/2022 13:53,IP Address,100.0,25.0,True,7/4/2022 13:53,R_24AhuyaMOBfPThm,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$150,000 or more",White or Caucasian (Non-Hispanic),Graduate or professional degree,26.0,Female,True,Real,,Details,Real,,,Real,,,Real,,Details,Scam,,,Real,,Details,Real,,,Real,,,True,True,7/4/2022 13:55,7/4/2022 13:56,IP Address,100.0,38.0,True,7/4/2022 13:56,R_1hSeqrb9lOslCYk,,,,,anonymous,EN,"Someone claiming to be from the IRS (but wasn't),Someone claiming to be from another government agency (but wasn't),Someone claiming to be from the company where you work (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,Yes,Yes,Hardly ever,Some of the time,Some of the time,"Yes, use the responses.",True,1,True,True,False,0,0.0,0.0,0.0,Too Fast,False,,24,False
11,2022-07-04 13:52:00,7/4/2022 13:55,IP Address,100,163,True,7/4/2022 13:55,R_3fvEEja7ARXJh1q,,,,,anonymous,EN,Yes,Chrome,103.0.0.0,Windows NT 10.0,1280x854,5a5d0554ac562400015402dd,Some,Basically content,Most of the time,Government should do more to solve problems.,Slightly Agree,Neither Agree nor Disagree,Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Strongly Agree,Slightly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Slightly Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Agree,Once a week,arm3_tips,5a5d0554ac562400015402dd,1,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/4/2022 13:55,7/4/2022 13:56,IP Address,100.0,44.0,True,7/4/2022 13:56,R_1kRXWfnx5BGl5GG,,,,,anonymous,EN,Retired,"$20,000 - $39,999",White or Caucasian (Non-Hispanic),Graduate or professional degree,62.0,Female,True,Scam,,,Real,,,Scam,,,Real,,Details,Scam,,,Real,,,Real,,,Real,,,True,True,7/4/2022 14:00,7/4/2022 14:02,IP Address,100.0,73.0,True,7/4/2022 14:02,R_ABP1mu1srBvy6L7,,,,,anonymous,EN,"Someone claiming to be from the Social Security Administration (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,Yes,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",True,1,True,True,False,1,2.0,3.0,0.0,Keep,False,False,24,False
16,2022-07-04 13:52:00,7/4/2022 14:05,IP Address,100,753,True,7/4/2022 14:05,R_22nM1iXbtmDOkuT,,,,,anonymous,EN,Yes,Safari,15.3,Macintosh,1440x900,62c2d76bf4f59bba67bd6b2b,Some,Angry,Only some of the time,Government should do more to solve problems.,Neither Agree nor Disagree,Disagree,Slightly Disagree,Agree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Slightly Agree,Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Slightly Disagree,Once a week,arm2_generalinfo,62c2d76bf4f59bba67bd6b2b,0,1,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/4/2022 14:05,7/4/2022 14:06,IP Address,100.0,93.0,True,7/4/2022 14:06,R_247UihomUcljgJb,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$100,000 - $149,999",White or Caucasian (Non-Hispanic),Graduate or professional degree,26.0,Female,True,Real,,,Real,Click,,Scam,,,Real,,,Scam,,,Scam,,,Scam,,,,,,True,False,7/4/2022 14:09,7/4/2022 14:09,IP Address,100.0,36.0,True,7/4/2022 14:09,R_2TzzhiIPC619nBM,,,,,anonymous,EN,"Someone claiming to be from the Social Security Administration (but wasn't),Someone claiming to be from the IRS (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,Yes,Hardly ever,Some of the time,Hardly ever,"Yes, use the responses.",True,1,True,True,False,4,4.0,0.0,0.0,Test Results are Incomplete,False,,24,False
12,2022-07-04 13:53:00,7/4/2022 13:55,IP Address,100,117,True,7/4/2022 13:55,R_1mkL8FWvkCzLdQR,,,,,anonymous,EN,Yes,Chrome,103.0.0.0,Windows NT 10.0,1920x1080,5f579cc797c3ee2607f6e344,Very little,Frustrated,Never,Government should do more to solve problems.,Strongly Agree,Neither Agree nor Disagree,Strongly Disagree,Strongly Agree,Slightly Disagree,Agree,Slightly Disagree,Agree,Slightly Disagree,Slightly Agree,Disagree,Strongly Disagree,Slightly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Once a month,arm1_control,5f579cc797c3ee2607f6e344,3,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/4/2022 13:55,7/4/2022 13:56,IP Address,100.0,53.0,True,7/4/2022 13:56,R_3gMgRCx8yR0PH1m,,,,,anonymous,EN,"Employed, working 1-29 hours per week","$0 - $19,999","White or Caucasian (Non-Hispanic),African American or African (Non-Hispanic)",Some college but no degree,27.0,Female,True,Scam,,Details,Real,,,Scam,,,Real,,Details,Scam,,,Real,,Details,Real,,,Real,,,True,True,7/4/2022 13:59,7/4/2022 14:00,IP Address,100.0,65.0,True,7/4/2022 14:00,R_3MGpTthiiu7t7Sa,,,,,anonymous,EN,"Someone claiming to be from the Social Security Administration (but wasn't),Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",Yes,$20 ,No,No,Often,Often,Often,"Yes, use the responses.",True,1,True,True,True,0,3.0,2.0,0.0,Too Fast,False,,24,False
13,2022-07-04 13:53:00,7/4/2022 13:57,IP Address,100,218,True,7/4/2022 13:57,R_2viirMSaKWxWq9O,,,,,anonymous,EN,Yes,Chrome,103.0.0.0,Windows NT 6.3,1280x800,5f0a5a99dbbf721316f118e2,Very little,Frustrated,Only some of the time,Government should do more to solve problems.,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Agree,Agree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Once a month,arm4_interactive,5f0a5a99dbbf721316f118e2,3,0,Real,,Details,Real,Click,,Scam,,Details,Real,,,Real,,,Real,,,Scam,,Details,Scam,,Details,True,True,7/4/2022 14:02,7/4/2022 14:03,IP Address,100.0,36.0,True,7/4/2022 14:03,R_1PUCezeUeaHExQp,,,,,anonymous,EN,"Not employed, looking for work","$0 - $19,999",Asian American or Asian,Bachelor degree,25.0,Female,True,Scam,,Details,Real,,,Scam,,,Real,,Details,Real,,,Scam,,Details,Real,,,Real,,,True,True,7/4/2022 14:06,7/4/2022 14:07,IP Address,100.0,66.0,True,7/4/2022 14:07,R_28AEFDMPIPktH7f,,,,,anonymous,EN,Other,No,,No,No,Often,Some of the time,Often,"Yes, use the responses.",True,1,True,True,False,3,1.0,3.0,0.0,Keep,False,False,24,False
14,2022-07-04 13:55:00,7/4/2022 13:58,IP Address,100,202,True,7/4/2022 13:58,R_2hNXXYBpMccgw7f,,,,,anonymous,EN,Yes,Edge,103.0.1264.44,Windows NT 10.0,1707x961,611856f2838637d026064221,Some,Angry,Only some of the time,Government should do more to solve problems.,Neither Agree nor Disagree,Strongly Disagree,Disagree,Disagree,Slightly Agree,Agree,Agree,Strongly Disagree,Neither Agree nor Disagree,Disagree,,Slightly Disagree,Slightly Disagree,Slightly Disagree,Disagree,Disagree,Disagree,Disagree,Once a month,arm3_tips,611856f2838637d026064221,3,1,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/4/2022 13:58,7/4/2022 13:59,IP Address,100.0,55.0,True,7/4/2022 13:59,R_2wRBRc4XqvAUZNw,,,,,anonymous,EN,"Employed, working 1-29 hours per week","$20,000 - $39,999","White or Caucasian (Non-Hispanic),African American or African (Non-Hispanic),Native American, Native Hawaiian or Pacific Islander",Some college but no degree,28.0,Male,True,Real,,Details,Real,Click,,Scam,,,Real,,Details,Scam,,,Scam,,Details,Real,,,Real,,,True,True,7/4/2022 14:03,7/4/2022 14:04,IP Address,100.0,75.0,True,7/4/2022 14:04,R_3PtRPZk1fYYPgpH,,,,,anonymous,EN,"Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services,Other",No,,Not Sure,No,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",True,1,True,True,False,2,4.0,4.0,0.0,Keep,False,False,24,False
15,2022-07-04 13:58:00,7/4/2022 14:01,IP Address,100,193,True,7/4/2022 14:01,R_2coW8i6hcfQXClm,,,,,anonymous,EN,Yes,Chrome,103.0.0.0,Macintosh,1440x900,62c0c10138f386a203bbf434,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Agree,Slightly Agree,Agree,Slightly Agree,Agree,Slightly Agree,Slightly Agree,Slightly Agree,Agree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,A few times a year,arm2_generalinfo,62c0c10138f386a203bbf434,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/4/2022 14:01,7/4/2022 14:02,IP Address,100.0,28.0,True,7/4/2022 14:02,R_8pkHYwCUhaEY3bH,,,,,anonymous,EN,"Not employed, looking for work","$60,000 - $79,999",Asian American or Asian,"High school degree or equivalent (e.g., GED)",18.0,Male,True,Real,,,Real,,,Scam,,,Real,,,Scam,,,Scam,,,Scam,,,Real,,,True,True,7/4/2022 14:03,7/4/2022 14:04,IP Address,100.0,33.0,True,7/4/2022 14:04,R_33dvnBaGDj5n0jh,,,,,anonymous,EN,Someone selling fraudulent goods or services,No,,No,No,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",True,1,True,True,False,2,0.0,0.0,0.0,Keep,False,False,24,False
17,2022-07-04 13:58:00,7/4/2022 14:06,IP Address,100,472,True,7/4/2022 14:06,R_wNm8PEUYaosusQF,,,,,anonymous,EN,Yes,Safari iPhone,12.1.2,iPhone,375x667,6126c68385863fa349a80305,Very little,Frustrated,Only some of the time,Government is doing too many things better left to businesses and individuals.,Slightly Disagree,Slightly Disagree,Disagree,Slightly Agree,Agree,Slightly Disagree,Agree,Slightly Agree,Neither Agree nor Disagree,Disagree,Slightly Disagree,Strongly Disagree,Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Disagree,Disagree,A few times a year,arm2_generalinfo,6126c68385863fa349a80305,0,1,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/4/2022 14:06,7/4/2022 14:07,IP Address,100.0,39.0,True,7/4/2022 14:07,R_e2vVbX8T2Dia7uN,,,,,anonymous,EN,"Not employed, looking for work","$20,000 - $39,999",Asian American or Asian,"High school degree or equivalent (e.g., GED)",21.0,Male,True,Real,Click,,Real,,,Scam,,,Real,,,Scam,,,Scam,,,Scam,,,Real,,,True,True,7/4/2022 14:09,7/4/2022 14:09,IP Address,100.0,48.0,True,7/4/2022 14:09,R_1mVq2sPtWTECQVF,,,,,anonymous,EN,Someone otherwise claiming to be from an organization or group they weren't really from,No,,No,No,Some of the time,Some of the time,Often,"Yes, use the responses.",True,1,True,True,False,4,2.0,1.0,0.0,Keep,False,False,24,False
18,2022-07-04 14:09:00,7/4/2022 14:12,IP Address,100,162,True,7/4/2022 14:12,R_1kFHNxhtpuz0gTX,,,,,anonymous,EN,Yes,Firefox,102,Windows NT 10.0,1920x1080,5faeb8eb6562cd0163f216ec,Quite a lot,Basically content,Only some of the time,Government should do more to solve problems.,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Once a month,arm1_control,5faeb8eb6562cd0163f216ec,3,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/4/2022 14:12,7/4/2022 14:12,IP Address,100.0,18.0,True,7/4/2022 14:12,R_1BSqSUtenNx6ijE,,,,,anonymous,EN,"Not employed, looking for work","$0 - $19,999",Asian American or Asian,Some college but no degree,27.0,Male,True,Real,,Details,Real,,,Real,,,Real,,Details,Scam,,,Scam,,,Scam,,Details,,,,True,False,7/4/2022 14:13,7/4/2022 14:14,IP Address,100.0,47.0,True,7/4/2022 14:14,R_2TWZu2km3FqqmHm,,,,,anonymous,EN,"Someone claiming to be from the Social Security Administration (but wasn't),Someone claiming to be from the IRS (but wasn't),Someone claiming to be from another government agency (but wasn't),Someone claiming to be from the company where you work (but wasn't),Someone selling fraudulent goods or services",No,,No,No,Often,Often,Often,"Yes, use the responses.",True,1,True,True,False,1,0.0,1.0,0.0,Test Results are Incomplete,False,,24,False
19,2022-07-04 14:09:00,7/4/2022 14:17,IP Address,100,504,True,7/4/2022 14:17,R_1HpEgJyTLR1ZEKL,,,,,anonymous,EN,Yes,Chrome,103.0.0.0,Windows NT 10.0,1600x900,5f0121307086ce26f958afb2,Very little,Angry,Only some of the time,Government should do more to solve problems.,Slightly Agree,Slightly Agree,Strongly Disagree,Agree,Disagree,Slightly Agree,Agree,Slightly Agree,Strongly Disagree,Slightly Disagree,Slightly Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Once a month,arm4_interactive,5f0121307086ce26f958afb2,4,0,Real,,,Real,,,Scam,,Details,Real,,,Real,Click,,Real,,,Real,,Details,Real,,Details,True,True,7/4/2022 14:21,7/4/2022 14:22,IP Address,100.0,39.0,True,7/4/2022 14:22,R_3JgcJVW6LRuVwbE,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$20,000 - $39,999",White or Caucasian (Non-Hispanic),"High school degree or equivalent (e.g., GED)",27.0,Male,True,Scam,,Details,Real,,,Real,,,Real,,Details,Real,,,Real,,Details,Real,,Details,Real,,,True,True,7/4/2022 14:24,7/4/2022 14:26,IP Address,100.0,126.0,True,7/4/2022 14:26,R_31HRI7xovJ8npdV,,,,,anonymous,EN,"Someone claiming to be from the IRS (but wasn't),Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,Yes,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",True,1,True,True,False,4,2.0,4.0,0.0,Keep,False,False,24,False
